stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
89074,,Universidad Playa Ancha - Campus 1 / Poniente,,-33.0248265400891,-71.6407108772546,,,0,,
89075,,Serena - Freire,,-33.0464071418237,-71.4043972827494,,,0,,
89076,,Ojos De Agua - El Castor,,-33.0604174689707,-71.3994944561273,,,0,,
89077,,Mena 1190 / Oeste,,-33.0510048071789,-71.4460254181176,,,0,,
89078,,Frodden 1480,,-33.0542938454204,-71.4673248399048,,,0,,
89079,,Wenceslao - Juan Alvarado,,-33.0586573080263,-71.4521408546716,,,0,,
89080,,Los Carrera 523,,-33.0479494661012,-71.4452288020402,,,0,,
89081,,Las Acacias - Los Aromos Norte,,-33.0531450565516,-71.3516411650926,,,0,,
89082,,Sargento Aldea - Barros Araña,,-33.0412628679148,-71.3593203295022,,,0,,
89083,,Peñuelas - Cacique,,-33.0519805155509,-71.4196794200689,,,0,,
89084,,II De Línea - Alcalde Alejandro Peralta,,-33.0540600422471,-71.3946825731546,,,0,,
89085,,Errazuriz - Bellavista / Oriente,,-33.0428924927041,-71.621672557667,,,0,,
89086,,Camino Troncal - Punta Lobo Sur,,-33.0346274800911,-71.515242503956,,,0,,
89087,,Colegio Hyatt,,-33.0446624392379,-71.3852114416659,,,0,,
89088,,Freire - Gómez Carreño,,-33.0463846587628,-71.4051885344089,,,0,,
89090,,Uno Norte Santo Tomas,,-33.0378069522732,-71.5223289001733,,,0,,
89091,,Barros Araña - Victoria,,-33.0571219153976,-71.4484686590731,,,0,,
89092,,Argentina - Chacabuco,,-33.0461509313203,-71.6042274702339,,,0,,
89093,,Uno Norte - Lusitania,,-33.0313916759662,-71.5319285262376,,,0,,
89094,,Uno Norte - Los Castaños,,-33.0236963260919,-71.5430677402765,,,0,,
89095,,Troncal Pasarela 4 / Norte,,-33.0348208600355,-71.4893028605728,,,0,,
89096,,La Polar,,-33.043538256892,-71.4211396314204,,,0,,
89097,,Colon - Francia - Colegio Nuestra Señora De Los Urdes,,-33.049737919439,-71.6126898396761,,,0,,
89098,,Manuel Montt - Colón,,-33.042737830317,-71.3580567575991,,,0,,
89099,,Ojos De Agua - Stgo Hurtado,,-33.0513592710239,-71.3988890862674,,,0,,
89100,,Estero - Sta Ana,,-33.0528565457597,-71.3968988871784,,,0,,
89101,,Santa Sara - El Abanderado / Poniente,,-33.0660911070595,-71.3760412205011,,,0,,
89102,,El Rocío - San Juan,,-33.051802910454,-71.3905331958085,,,0,,
89103,,Hevia - Galileo,,-33.0477313839872,-71.4698327053338,,,0,,
89104,,Parque Alejo Barrios / Norte,,-33.0235836485041,-71.6376638878137,,,0,,
89105,,Huanhuali - Porvenir,,-33.0478460457846,-71.3833714462817,,,0,,
89106,,Colon - San Ignacio - Urgencias Hospital Carlos Van Buren,,-33.0500073358442,-71.6114935744554,,,0,,
89107,,Camino Troncal - El Rincón Sur,,-33.051778180602,-71.3385197985917,,,0,,
89108,,Santiago - Lincoyán,,-33.0381284908082,-71.402873788029,,,0,,
89109,,Gregoria - Diego Almagro,,-33.0496536355674,-71.403379101539,,,0,,
89110,,La Marina - Pte Casino,,-33.0208161429567,-71.5614811051637,,,0,,
89111,,Universidad Federico Santa Maria,,-33.0357855048139,-71.4851588476449,,,0,,
89112,,Berlín - San Luis,,-33.0416316108307,-71.3852385152131,,,0,,
89113,,Errazuriz - Rodriguez / Poniente,,-33.0437359773272,-71.6160613764077,,,0,,
89114,,Avenida Valparaíso - Ferrari,,-33.0444870677365,-71.38019034639,,,0,,
89115,,Uno Norte - Estero Marga Marga,,-33.0256820695279,-71.5396050084382,,,0,,
89116,,Las Barrancas 2972,,-33.0723757403196,-71.4244762994349,,,0,,
89117,,Vicuña Mackenna 852,,-33.0471355898921,-71.4445475209504,,,0,,
89118,,Marga Marga - Quintero / Sur,,-33.0625057879642,-71.4242842281237,,,0,,
89119,,Baquedano - Riveros,,-33.0432122413279,-71.3615063298494,,,0,,
89120,,Las Palmas - Cuatro Pinos / Norte,,-33.0665946135307,-71.4251522161067,,,0,,
89121,,Volcan Pucon,,-33.0706540292098,-71.4252487756312,,,0,,
89122,,Colon - Rancagua,,-33.0512442947639,-71.6050187218934,,,0,,
89123,,Arturo Alessandri - Barros Araña,,-33.0616515838152,-71.4488658774644,,,0,,
89124,,Industrial 1198,,-33.0410470176867,-71.4132807590067,,,0,,
89125,,O´Higgins - Ortiz Vega,,-33.0505574165452,-71.4675099123269,,,0,,
89126,,Los Carrera 549,,-33.0480843619838,-71.4449900854379,,,0,,
89127,,Barros Araña 1652,,-33.0566093625554,-71.4485842455178,,,0,,
89128,,Colegio Nuevo Milenio,,-33.047859535398,-71.3905812241137,,,0,,
89129,,Los Lirios - Psje Seis,,-33.058095307975,-71.4151733089238,,,0,,
89130,,Blanco - San Martin,,-33.0475425289368,-71.4322976209223,,,0,,
89131,,Uno Norte Bella Tierras,,-33.0286572276631,-71.535418080166,,,0,,
89132,,Parque,,-33.0225003463663,-71.6341796983033,,,0,,
89133,,Av. Esapaña,,-33.0264244790252,-71.5851623285562,,,0,,
89134,,Windmill College,,-33.0384567736962,-71.3827652670443,,,0,,
89135,,Los Carrera 15 / Sur,,-33.0472210247646,-71.4522076584399,,,0,,
89136,,La Palma - Primera / Sur,,-33.0616920463041,-71.3662806618959,,,0,,
89137,,Marga Marga - Porvenir,,-33.0542174098359,-71.4275248814374,,,0,,
89138,,Peñueñas - San Antonio,,-33.0520771865291,-71.4186735916883,,,0,,
89139,,Los Lirios 2603 - 2791,,-33.0577895784403,-71.417827103287,,,0,,
